PR,URL,HTTP status code,Content type,Is indexable page,Title,Title length,Meta description,Meta description length,H1,H1 length,Meta robots,Robots information in HTTP headers,Canonical URL,Canonical URL code,Size (bytes),No. of content words,Depth,No. of href inlinks,No. of inlinks dofollow,No. of internal outlinks,No. of external outlinks,Loading time (ms),Redirect URL,Redirect URL code,Final redirect URL,Final redirect URL code,Organic traffic,No. of backlinks,No. of dofollow backlinks,No. of nofollow backlinks,No. of referring domains,No. of referring pages
22,https://teznevisan3.com/plagiarism-check/,200,text/html; charset=utf-8,true,بررسی سرقت ادبی و کاهش درصد همانندجویی مقاله و پایان نامه | موسسه تزنویسان,74,گزارش همانندجوی شما بالای 20 درصد است و قصد دارید درصد همانندجویی پایان نامه خود را کاهش دهید؟ آن را به تز نویسان بسپارید تا به صورت حرفه ای بخش های کپی شده,156,بررسی سرقت ادبی و کاهش درصد همانندجویی مقاله و پایان نامه,57,"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1",,https://teznevisan3.com/plagiarism-check/,200,73111,1173,2,4,4,47,12,1547,,,,,0,0,0,0,0,0
21,https://teznevisan3.com/extracting-paper-from-dissertation/,200,text/html; charset=utf-8,true,استخراج مقاله از پایان نامه | موسسه تزنویسان,44,استخراج مقاله از پایان نامه بنظر می‌رسد که قدمی منطقی و به‌صرف زمانی در جهت تبدیل شدن به یک محقق خوش نام است. هرچند که انجام این فرآیند و طی کردن گام‌های,153,استخراج مقاله از پایان نامه,27,"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1",,https://teznevisan3.com/extracting-paper-from-dissertation/,200,82459,2554,3,2,2,48,12,1955,,,,,0,0,0,0,0,0
21,https://teznevisan3.com/acknowledgement/,200,text/html; charset=utf-8,true,نمونه متن تقدیر نامه پایان نامه | موسسه تزنویسان,48,در هر فعالیتی که انسان در طول زندگی خود انجام میدهد، دخالت احساسات مشاهده می شود. همه دیدید در تمامی مسابقات ورزشی، مدال آوران اولین حرف های خود پس از چنین,155,نمونه متن تقدیر نامه پایان نامه,31,"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1",,https://teznevisan3.com/acknowledgement/,200,77503,1982,2,5,5,47,12,1491,,,,,0,0,0,0,0,0
21,https://teznevisan3.com/citation/,200,text/html; charset=utf-8,true,روش های افزایش سایتیشن مقالات ISI | موسسه تزنویسان,50,اگر جزو کسانی باشید که به تازگی انجام پروژه‌ های دانشجویی خود را شروع کرده‌اند، احتمالا هنوز متوجه میزان اهمیت افزایش سایتیشن در نوشته‌های خود نشده‌اید.,152,روش های افزایش سایتیشن مقالات ISI,33,"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1",,https://teznevisan3.com/citation/,200,79431,2044,2,3,3,49,12,1562,,,,,0,0,0,0,0,0
21,https://teznevisan3.com/inquiry/,200,text/html; charset=utf-8,true,ثبت سفارش | موسسه تزنویسان,26,,,"ثبت سفارش
فرم ثبت سفارش انجام پروژه و امور پژوهشی","9
39","follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1",,https://teznevisan3.com/inquiry/,200,61928,1219,2,0,0,45,4,999,,,,,0,0,0,0,0,0
20,https://teznevisan3.com/withdraw-from-university/,200,text/html; charset=utf-8,true,شرایط و مراحل درخواست انصراف از تحصیل از دانشگاه | موسسه تزنویسان,65,تحصیل در ایران همواره دانشجویان را با چالش های متعددی مواجه کرده است. تحصیل در شهرهایی غیر از محل زندگی دانشجویان، کمبود امکانات و مواردی مانند عدم علاقه,153,"شرایط و مراحل درخواست انصراف از تحصیل از دانشگاه
چرا یک دانشجو تصمیم به انصراف از تحصیل می گیرد؟
مراحل انصراف از تحصیل
انصراف از تحصیل در مقاطع مختلف به چه صورت است؟
هزینه های انصراف و محرومیت های پس از آن به چه صورت می باشد؟
عدم ثبت نام در دانشگاه در صورت قبولی
مشاوره انصراف از تحصیل","48
47
21
46
59
36
22","follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1",,https://teznevisan3.com/withdraw-from-university/,200,84152,2170,2,1,1,45,12,814,,,,,0,0,0,0,0,0
20,https://teznevisan3.com/optimisation/,200,text/html; charset=utf-8,true,انجام پروژه بهینه سازی | موسسه تزنویسان,39,بهینه‌سازی در مهندسی و مدیریت، یافتن بهترین راه‌حل با محدودیت‌هاست. دانشجویان با چالش انتخاب الگوریتم، تنظیم پارامتر و تحلیل Pareto روبرو می‌شوند. تزنویسان,155,"انجام پروژه بهینه سازی
انجام پروژه بهینه سازی","22
22","follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1",,https://teznevisan3.com/optimisation/,200,78157,3249,2,1,1,47,8,1520,,,,,0,0,0,0,0,0
20,https://teznevisan3.com/python/,200,text/html; charset=utf-8,true,انجام پروژه پایتون (Python) | موسسه تزنویسان,44,پایتون پرکاربردترین زبان برنامه‌نویسی جهان با ۵۲% سهم بازار علوم داده است. دانشجویان مهندسی کامپیوتر، هوش مصنوعی و علوم داده نیاز به پروژه‌های عملی Django،,155,"انجام پروژه پایتون (Python)
انجام پروژه پایتون (Python)","27
27","follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1",,https://teznevisan3.com/python/,200,82742,3477,3,1,1,46,9,834,,,,,0,0,0,0,0,0
20,https://teznevisan3.com/minitab/,200,text/html; charset=utf-8,true,انجام پروژه مینی تب (Minitab) فوری + قیمت مناسب | موسسه تزنویسان,64,پایان‌نامه نقطه عطفی در مسیر تحصیلی هر دانشجو است. اهمیت کیفیت پژوهش، صحت روش‌شناسی و انسجام نگارش می‌تواند اثر مستقیمی بر نتیجه تحصیلی و فرصت‌های شغلی آینده,157,"انجام پروژه مینی تب (Minitab) فوری + قیمت مناسب
انجام پروژه مینی تب (Minitab) فوری + قیمت مناسب","47
47","follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1",,https://teznevisan3.com/minitab/,200,77126,1830,3,1,1,47,8,817,,,,,0,0,0,0,0,0
20,https://teznevisan3.com/abaqus/,200,text/html; charset=utf-8,true,انجام پروژه آباکوس (Abaqus) | موسسه تزنویسان,44,پروژه‌های Abaqus در مهندسی مکانیک، عمران و مواد، ابزار کلیدی برای شبیه‌سازی المان محدود هستند. دانشجویان با چالش مدلسازی، مشبندی و تحلیل غیرخطی مواجه‌اند.,154,"انجام پروژه آباکوس (Abaqus)
انجام پروژه آباکوس (Abaqus)","27
27","follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1",,https://teznevisan3.com/abaqus/,200,80659,2762,4,0,0,47,8,852,,,,,0,0,0,0,0,0
20,https://teznevisan3.com/military-services-project/,200,text/html; charset=utf-8,true,انجام پروژه کسری خدمت سربازی با قیمت مناسب | موسسه تزنویسان,59,کسری خدمت سربازی فرصتی قانونی برای کاهش مدت خدمت مشمولان واجد شرایط است. انواع کسری شامل ایثارگری (هر ماه جبهه=۱۲ روز)، بسیج فعال و تاهل می‌شود که بر اساس,154,"انجام پروژه کسری خدمت سربازی با قیمت مناسب
انجام پروژه کسری خدمت سربازی با قیمت مناسب","42
42","follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1",,https://teznevisan3.com/military-services-project/,200,75247,2259,3,1,1,46,8,4209,,,,,0,0,0,0,0,0
20,https://teznevisan3.com/matlab/,200,text/html; charset=utf-8,true,انجام پروژه شبیه سازی متلب (MATLAB) | موسسه تزنویسان,52,شبیه‌سازی MATLAB ۶۰% فصل ۴ پایان‌نامه‌های مهندسی و ۸۰% مقالات Q1/Q2 را تشکیل می‌دهد. پروژه‌های کنترل PID/Fuzzy، پردازش سیگنال FFT، هوش مصنوعی Neural Network و,158,"انجام پروژه شبیه سازی متلب (MATLAB)
انجام پروژه شبیه سازی متلب (MATLAB)","35
35","follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1",,https://teznevisan3.com/matlab/,200,73006,1436,3,1,1,45,8,2767,,,,,0,0,0,0,0,0
20,https://teznevisan3.com/operation-research/,200,text/html; charset=utf-8,true,انجام پروژه تحقیق در عملیات [Operation Research] | موسسه تزنویسان,65,تحقیق در عملیات (OR) ابزار کلیدی برای بهینه‌سازی منابع در صنایع و مدیریت است. دانشجویان با چالش فرمول‌بندی مدل، حل LP/IP و تحلیل حساسیت روبرو می‌شوند.,150,"انجام پروژه تحقیق در عملیات [Operation Research]
انجام پروژه تحقیق در عملیات [Operation Research]","48
48","follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1",,https://teznevisan3.com/operation-research/,200,72753,1320,2,1,1,46,8,2129,,,,,0,0,0,0,0,0
17,https://teznevisan3.com/wp-content/uploads/logo/teznevisan.svg,200,image/svg+xml,false,,,,,,,,,,,148304,0,1,0,0,0,0,722,,,,,0,0,0,0,0,0
17,https://teznevisan3.com/2023/05/,301,text/html; charset=utf-8,false,,,,,,,,,https://teznevisan3.com/2023/05/,301,20,0,2,61,61,0,0,748,https://teznevisan3.com/,200,https://teznevisan3.com/,200,0,0,0,0,0,0
17,https://teznevisan3.com/wp-login.php?action=lostpassword&redirect_to=https%3A%2F%2Fteznevisan3.com,200,text/html; charset=utf-8,false,رمز فراموش شده ‹ موسسه تزنویسان — وردپرس,40,,,"رمز فراموش شده
با نیروی وردپرس","14
15","max-image-preview:large
noarchive
noindex",,,,1644,53,1,62,62,2,0,898,,,,,0,0,0,0,0,0
17,https://teznevisan3.com/2024/10/,301,text/html; charset=utf-8,false,,,,,,,,,https://teznevisan3.com/2024/10/,301,1,0,2,61,61,0,0,506,https://teznevisan3.com/,200,https://teznevisan3.com/,200,0,0,0,0,0,0
17,https://teznevisan3.com/2024/09/,301,text/html; charset=utf-8,false,,,,,,,,,https://teznevisan3.com/2024/09/,301,1,0,2,61,61,0,0,487,https://teznevisan3.com/,200,https://teznevisan3.com/,200,0,0,0,0,0,0
17,https://teznevisan3.com/2024/12/,301,text/html; charset=utf-8,false,,,,,,,,,https://teznevisan3.com/2024/12/,301,1,0,2,61,61,0,0,477,https://teznevisan3.com/,200,https://teznevisan3.com/,200,0,0,0,0,0,0
17,https://teznevisan3.com/2023/08/,301,text/html; charset=utf-8,false,,,,,,,,,https://teznevisan3.com/2023/08/,301,1,0,2,61,61,0,0,474,https://teznevisan3.com/,200,https://teznevisan3.com/,200,0,0,0,0,0,0
17,https://teznevisan3.com/wp-content/uploads/fonts/fontawesome/css/brands.css?ver=7.0.0,200,text/css,false,,,,,,,,,,,4515,0,1,0,0,0,0,520,,,,,0,0,0,0,0,0
17,https://teznevisan3.com/wp-content/uploads/fonts/fontawesome/css/duotone.css?ver=7.0.0,200,text/css,false,,,,,,,,,,,404,0,1,0,0,0,0,483,,,,,0,0,0,0,0,0
17,https://teznevisan3.com/2025/03/,301,text/html; charset=utf-8,false,,,,,,,,,https://teznevisan3.com/2025/03/,301,0,0,2,61,61,0,0,519,https://teznevisan3.com/,200,https://teznevisan3.com/,200,0,0,0,0,0,0
17,https://teznevisan3.com/inquiry,301,text/html; charset=utf-8,false,,,,,,,,,https://teznevisan3.com/inquiry/,200,1,0,1,62,62,0,0,974,https://teznevisan3.com/inquiry/,200,https://teznevisan3.com/inquiry/,200,0,0,0,0,0,0
17,https://teznevisan3.com/wp-content/uploads/logo/white.svg,200,image/svg+xml,false,,,,,,,,,,,148995,0,1,0,0,0,0,700,,,,,0,0,0,0,0,0
17,https://teznevisan3.com/wp-content/uploads/fonts/fontawesome/css/all.css?ver=7.0.0,200,text/css,false,,,,,,,,,,,38593,0,1,0,0,0,0,658,,,,,0,0,0,0,0,0
17,https://teznevisan3.com/2025/02/,301,text/html; charset=utf-8,false,,,,,,,,,https://teznevisan3.com/2025/02/,301,1,0,2,61,61,0,0,493,https://teznevisan3.com/,200,https://teznevisan3.com/,200,0,0,0,0,0,0
2,https://teznevisan3.com/assignments/,404,text/html; charset=utf-8,false,,,,,,,,,,,54022,0,3,8,8,0,0,4560,,,,,0,0,0,0,0,0
2,https://teznevisan3.com/isi-paper/,404,text/html; charset=utf-8,false,,,,,,,,,,,0,0,2,8,8,0,0,1294,,,,,0,0,0,0,0,0
1,https://teznevisan3.com/spss/,301,text/html; charset=utf-8,false,,,,,,,,,,,20,0,3,2,2,0,0,1323,https://teznevisan3.com/statistical-analysis/spss/,200,https://teznevisan3.com/statistical-analysis/spss/,200,0,0,0,0,0,0
1,https://teznevisan3.com/wp-content/uploads/2023/05/81a531ab-d876-45f1-86cf-0a03217545f7-390x220.webp,200,image/webp,false,,,,,,,,,,,99318,0,3,0,0,0,0,1547,,,,,0,0,0,0,0,0
1,https://teznevisan3.com/master-thesis/,404,text/html; charset=utf-8,false,,,,,,,,,,,0,0,3,4,4,0,0,2210,,,,,0,0,0,0,0,0
1,https://teznevisan3.com/publish-paper/,404,text/html; charset=utf-8,false,,,,,,,,,,,0,0,2,2,2,0,0,1908,,,,,0,0,0,0,0,0
1,https://teznevisan3.com/simulation/,200,text/html; charset=utf-8,false,انجام شبیه سازی | موسسه تزنویسان,32,,,چیزی پیدا نشد,13,"follow
noindex",,https://teznevisan3.com/simulation/,200,56231,542,4,2,2,45,3,863,,,,,0,0,0,0,0,0
1,https://teznevisan3.com/thesis-writing/,301,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,4,4,0,0,731,https://teznevisan3.com/thesis-writing-duration/,200,https://teznevisan3.com/thesis-writing-duration/,200,0,0,0,0,0,0
1,https://teznevisan3.com/paper-writing/,404,text/html; charset=utf-8,false,,,,,,,,,,,0,0,2,5,5,0,0,1263,,,,,0,0,0,0,0,0
1,https://teznevisan3.com/wp-login.php,200,text/html; charset=utf-8,false,ورود ‹ موسسه تزنویسان — وردپرس,30,,,"ورود
با نیروی وردپرس","4
15","max-image-preview:large
noarchive
noindex",,,,3267,36,2,2,2,2,0,484,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/writing-thesis/master/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,672,https://teznevisan3.com/thesis-to-book/,200,https://teznevisan3.com/thesis-to-book/,200,0,0,0,0,0,0
0,https://teznevisan3.com/writing-paper/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,687,https://teznevisan3.com/thesis-to-book/,200,https://teznevisan3.com/thesis-to-book/,200,0,0,0,0,0,0
0,https://teznevisan3.com/how-to-find-base-research-paper/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,1038,https://teznevisan3.com/extracting-paper-from-dissertation/,200,https://teznevisan3.com/extracting-paper-from-dissertation/,200,0,0,0,0,0,0
0,https://teznevisan3.com/wp-content/uploads/2024/10/Screenshot-2024-10-11-145041.png,404,text/html; charset=utf-8,false,,,,,,,,,,,54051,0,3,0,0,0,0,2838,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/wp-content/uploads/2024/10/Contact-1.png,404,text/html; charset=utf-8,false,,,,,,,,,,,0,0,3,0,0,0,0,2272,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/about/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,1398,https://teznevisan3.com/research-types/,200,https://teznevisan3.com/research-types/,200,0,0,0,0,0,0
0,http://www.teznevisan3.com/,403,text/html; charset=utf-8,false,,,,,,,,,,,337,0,0,0,0,0,0,312,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/extracting-paper-from-dissertation/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,4,1,0,0,0,774,https://teznevisan3.com/research-methodology/,200,https://teznevisan3.com/research-methodology/,200,0,0,0,0,0,0
0,https://teznevisan3.com/thesis-writing-duration/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,709,https://teznevisan3.com/academic-research-dictionary/,200,https://teznevisan3.com/academic-research-dictionary/,200,0,0,0,0,0,0
0,https://teznevisan3.com/wp-content/uploads/2023/01/similarity-check.png,404,text/html; charset=utf-8,false,,,,,,,,,,,0,0,3,0,0,0,0,4403,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/wp-content/uploads/2024/10/WithdrawContact.png,404,text/html; charset=utf-8,false,,,,,,,,,,,54037,0,3,0,0,0,0,1392,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/academic-research-dictionary/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,701,https://teznevisan3.com/correlation-research/,200,https://teznevisan3.com/correlation-research/,200,0,0,0,0,0,0
0,https://teznevisan3.com/case-study/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,3,1,0,0,0,1376,https://teznevisan3.com/how-to-write-thesis/,200,https://teznevisan3.com/how-to-write-thesis/,200,0,0,0,0,0,0
0,https://teznevisan3.com/review-article/,404,text/html; charset=utf-8,false,,,,,,,,,,,54028,0,2,1,1,0,0,1482,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/wp-content/uploads/2025/02/Research-Glossary.webp,404,text/html; charset=utf-8,false,,,,,,,,,,,0,0,2,0,0,0,0,1433,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/statistical-analysis/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,646,https://teznevisan3.com/how-to-find-base-research-paper/,200,https://teznevisan3.com/how-to-find-base-research-paper/,200,0,0,0,0,0,0
0,https://teznevisan3.com/wp-content/uploads/2024/10/Screenshot-2024-10-11-145631.png,404,text/html; charset=utf-8,false,,,,,,,,,,,0,0,3,0,0,0,0,1470,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/how-to-write-thesis/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,695,https://teznevisan3.com/academic-research-dictionary/,200,https://teznevisan3.com/academic-research-dictionary/,200,0,0,0,0,0,0
0,https://teznevisan3.com/abaqus/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,5,1,0,0,0,687,https://teznevisan3.com/correlation-research/,200,https://teznevisan3.com/correlation-research/,200,0,0,0,0,0,0
0,https://teznevisan3.com/minitab/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,4,1,0,0,0,1134,https://teznevisan3.com/academic-research-dictionary/,200,https://teznevisan3.com/academic-research-dictionary/,200,0,0,0,0,0,0
0,https://teznevisan3.com/true-research/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,3,1,0,0,0,1395,https://teznevisan3.com/disseertation-topic/,200,https://teznevisan3.com/disseertation-topic/,200,0,0,0,0,0,0
0,https://teznevisan3.com/research-reasoning-logic/,404,text/html; charset=utf-8,false,,,,,,,,,,,0,0,2,1,1,0,0,1216,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/inquiry/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,3,1,0,0,0,816,https://teznevisan3.com/become-researcher/,200,https://teznevisan3.com/become-researcher/,200,0,0,0,0,0,0
0,https://teznevisan3.com/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,1,1,0,0,0,723,https://teznevisan3.com/research-methodology/,200,https://teznevisan3.com/research-methodology/,200,0,0,0,0,0,0
0,https://teznevisan3.com/researach-hypothesis/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,3,1,0,0,0,1379,https://teznevisan3.com/how-to-search-research-paper/,200,https://teznevisan3.com/how-to-search-research-paper/,200,0,0,0,0,0,0
0,https://teznevisan3.com/wp-content/uploads/2025/02/Scholarly-Writing-Vocabulary.webp,404,text/html; charset=utf-8,false,,,,,,,,,,,0,0,2,0,0,0,0,1230,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/sitemap_index.xml,404,text/html; charset=utf-8,false,,,,,,,,,,,0,0,,0,0,0,0,502,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/statistical-analysis/spss/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,2055,https://teznevisan3.com/plagiarism-check/,200,https://teznevisan3.com/plagiarism-check/,200,0,0,0,0,0,0
0,https://teznevisan3.com/military-services-project/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,4,1,0,0,0,769,https://teznevisan3.com/disseertation-topic/,200,https://teznevisan3.com/disseertation-topic/,200,0,0,0,0,0,0
0,https://teznevisan3.com/contact-us/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,659,https://teznevisan3.com/case-study/,200,https://teznevisan3.com/case-study/,200,0,0,0,0,0,0
0,https://teznevisan3.com/wp-content/uploads/2023/01/military-services.png,404,text/html; charset=utf-8,false,,,,,,,,,,,0,0,4,0,0,0,0,1203,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/writing-thesis/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,706,https://teznevisan3.com/finite-element-method/,200,https://teznevisan3.com/finite-element-method/,200,0,0,0,0,0,0
0,https://teznevisan3.com/complaint/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,1358,https://teznevisan3.com/difference-between-job-student-cv/,200,https://teznevisan3.com/difference-between-job-student-cv/,200,0,0,0,0,0,0
0,https://teznevisan3.com/proposal/phd/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,982,https://teznevisan3.com/plagiarism-check/,200,https://teznevisan3.com/plagiarism-check/,200,0,0,0,0,0,0
0,https://teznevisan3.com/proposal/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,1335,https://teznevisan3.com/research-methodology/,200,https://teznevisan3.com/research-methodology/,200,0,0,0,0,0,0
0,https://teznevisan3.com/wp-content/uploads/2024/08/Best-Optimizing-institute.png,404,text/html; charset=utf-8,false,,,,,,,,,,,0,0,3,0,0,0,0,2414,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/thesis-writing/master/,301,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,1,0,0,1327,https://teznevisan3.com/writing-thesis/master/,200,https://teznevisan3.com/writing-thesis/master/,200,0,0,0,0,0,0
0,https://teznevisan3.com/writing-paper/review-paper/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,1405,https://teznevisan3.com/thesis-writing-duration/,200,https://teznevisan3.com/thesis-writing-duration/,200,0,0,0,0,0,0
0,https://teznevisan3.com/contact,301,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,1,0,0,871,https://teznevisan3.com/contact-us/,200,https://teznevisan3.com/contact-us/,200,0,0,0,0,0,0
0,https://teznevisan3.com/thesis-writing-tutorials/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,3,1,0,0,0,1848,https://teznevisan3.com/academic-research-dictionary/,200,https://teznevisan3.com/academic-research-dictionary/,200,0,0,0,0,0,0
0,https://teznevisan3.com/wp-content/uploads/2024/08/What-is-Optimization.png,404,text/html; charset=utf-8,false,,,,,,,,,,,0,0,3,0,0,0,0,2442,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/statistical-analysis/abaqus/,301,text/html; charset=utf-8,false,,,,,,,,,,,20,0,3,1,1,0,0,1035,https://teznevisan3.com/abaqus/,200,https://teznevisan3.com/abaqus/,200,0,0,0,0,0,0
0,https://teznevisan3.com/statistical-analysis/sas/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,616,https://teznevisan3.com/how-to-write-review-paper/,200,https://teznevisan3.com/how-to-write-review-paper/,200,0,0,0,0,0,0
0,https://teznevisan3.com/thesis-with-ai/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,645,https://teznevisan3.com/plagiarism-check/,200,https://teznevisan3.com/plagiarism-check/,200,0,0,0,0,0,0
0,https://teznevisan3.com/proposal-writing/,404,text/html; charset=utf-8,false,,,,,,,,,,,54027,0,2,1,1,0,0,1258,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/citation/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,3,1,0,0,0,1121,https://teznevisan3.com/how-to-write-review-paper/,200,https://teznevisan3.com/how-to-write-review-paper/,200,0,0,0,0,0,0
0,https://teznevisan3.com/thesis-writing/phd/,301,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,1,0,0,1373,https://teznevisan3.com/writing-thesis/phd/,200,https://teznevisan3.com/writing-thesis/phd/,200,0,0,0,0,0,0
0,https://teznevisan3.com/robots.txt,200,text/plain; charset=utf-8,false,,,,,,,,,,,435,0,,0,0,0,0,1291,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/research-methodology/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,3,1,0,0,0,707,https://teznevisan3.com/plagiarism-check/,200,https://teznevisan3.com/plagiarism-check/,200,0,0,0,0,0,0
0,https://teznevisan3.com/research-paper-for-apply/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,1376,https://teznevisan3.com/researach-hypothesis/,200,https://teznevisan3.com/researach-hypothesis/,200,0,0,0,0,0,0
0,https://teznevisan3.com/writing-thesis/phd/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,1268,https://teznevisan3.com/thesis-with-ai/,200,https://teznevisan3.com/thesis-with-ai/,200,0,0,0,0,0,0
0,https://teznevisan3.com/writing-paper/isc/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,2,1,0,0,0,717,https://teznevisan3.com/citation/,200,https://teznevisan3.com/citation/,200,0,0,0,0,0,0
0,https://teznevisan3.com/thesis/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,3,1,0,0,0,1284,https://teznevisan3.com/correlation-research/,200,https://teznevisan3.com/correlation-research/,200,0,0,0,0,0,0
0,https://teznevisan3.com/faq,404,text/html; charset=utf-8,false,,,,,,,,,,,54023,0,2,1,1,0,0,1263,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/paper/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,3,1,0,0,0,730,https://teznevisan3.com/thesis-with-ai/,200,https://teznevisan3.com/thesis-with-ai/,200,0,0,0,0,0,0
0,https://teznevisan3.com/operation-research/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,3,1,0,0,0,2671,https://teznevisan3.com/true-research/,200,https://teznevisan3.com/true-research/,200,0,0,0,0,0,0
0,https://teznevisan3.com/wp-content/uploads/2024/10/Screenshot-2024-10-11-145819.png,404,text/html; charset=utf-8,false,,,,,,,,,,,54051,0,3,0,0,0,0,2597,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/wp-content/uploads/2025/02/Terminology-of-Academic-Writing.webp,404,text/html; charset=utf-8,false,,,,,,,,,,,54050,0,2,0,0,0,0,1225,,,,,0,0,0,0,0,0
0,https://teznevisan3.com/research-types/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,3,1,0,0,0,1339,https://teznevisan3.com/research-paper-for-apply/,200,https://teznevisan3.com/research-paper-for-apply/,200,0,0,0,0,0,0
0,https://teznevisan3.com/matlab/?random-post=1,302,text/html; charset=utf-8,false,,,,,,,,,,,20,0,4,1,0,0,0,1635,https://teznevisan3.com/causal-comparative-research/,200,https://teznevisan3.com/causal-comparative-research/,200,0,0,0,0,0,0
0,https://teznevisan3.com/wp-content/uploads/2025/02/Scientific-Terminology.webp,404,text/html; charset=utf-8,false,,,,,,,,,,,54047,0,2,0,0,0,0,1302,,,,,0,0,0,0,0,0
